casualty_group,total_incidents,civil_defense_region,country,year,month,killed,injured,total_casualties,time_binary,lethality_category
1,1,12: South Eastern,England,1939,9,0,0,0,0,NA
2,1,12: South Eastern,England,1939,9,0,0,0,0,NA
3,1,11: Scotland,Scotland,1939,9,0,0,0,0,NA
4,1,12: South Eastern,England,1939,10,0,0,0,0,NA
5,1,11: Scotland,Scotland,1939,10,0,0,0,0,NA
6,1,11: Scotland,Scotland,1939,10,0,0,0,0,NA
7,1,11: Scotland,Scotland,1939,10,0,0,0,0,NA
8,1,11: Scotland,Scotland,1939,10,0,0,0,0,NA
9,1,3: North Midlands,England,1939,10,0,0,0,0,NA
10,1,3: North Midlands,England,1939,10,0,0,0,0,NA
11,1,4: Eastern,England,1939,10,0,0,0,0,NA
12,1,4: Eastern,England,1939,10,0,0,0,0,NA
13,1,2: North Eastern,England,1939,10,0,0,0,0,NA
14,1,2: North Eastern,England,1939,10,0,0,0,0,NA
15,1,2: North Eastern,England,1939,11,0,0,0,0,NA
16,1,12: South Eastern,England,1939,11,0,0,0,0,NA
17,1,12: South Eastern,England,1939,11,0,0,0,0,NA
18,1,11: Scotland,Scotland,1939,11,0,0,0,0,NA
19,1,11: Scotland,Scotland,1939,11,0,0,0,0,NA
20,1,11: Scotland,Scotland,1939,11,0,0,0,0,NA
21,1,11: Scotland,Scotland,1939,11,0,0,0,0,NA
22,1,4: Eastern,England,1939,11,0,0,0,0,NA
23,1,12: South Eastern,England,1939,12,0,0,0,0,NA
24,1,12: South Eastern,England,1939,12,0,0,0,0,NA
25,1,12: South Eastern,England,1939,12,0,0,0,0,NA
26,1,12: South Eastern,England,1939,12,0,0,0,0,NA
27,1,4: Eastern,England,1939,12,0,0,0,1,NA
28,1,1: Northern,England,1939,12,0,0,0,1,NA
29,1,12: South Eastern,England,1940,1,0,0,0,0,NA
30,1,11: Scotland,Scotland,1940,1,0,0,0,0,NA
31,1,12: South Eastern,England,1940,1,0,0,0,0,NA
32,1,11: Scotland,Scotland,1940,1,0,0,0,0,NA
33,1,11: Scotland,Scotland,1940,1,0,0,0,0,NA
34,1,4: Eastern,England,1940,1,0,0,0,0,NA
35,1,7: South Western,England,1940,1,0,0,0,1,NA
36,1,7: South Western,England,1940,1,0,0,0,1,NA
37,1,7: South Western,England,1940,1,0,0,0,1,NA
38,1,7: South Western,England,1940,1,0,0,0,1,NA
39,1,7: South Western,England,1940,1,0,1,1,1,low
40,1,1: Northern,England,1940,1,0,0,0,0,NA
41,1,11: Scotland,Scotland,1940,2,0,0,0,0,NA
42,1,11: Scotland,Scotland,1940,2,0,0,0,0,NA
43,1,4: Eastern,England,1940,2,0,0,0,0,NA
44,1,1: Northern,England,1940,2,0,0,0,0,NA
45,1,1: Northern,England,1940,2,0,0,0,0,NA
46,1,11: Scotland,Scotland,1940,2,0,0,0,0,NA
47,1,12: South Eastern,England,1940,2,0,0,0,0,NA
48,1,1: Northern,England,1940,2,0,0,0,0,NA
49,1,11: Scotland,Scotland,1940,2,0,0,0,0,NA
50,1,12: South Eastern,England,1940,2,0,0,0,0,NA
51,1,12: South Eastern,England,1940,2,0,0,0,0,NA
52,1,12: South Eastern,England,1940,3,0,0,0,0,NA
53,1,11: Scotland,Scotland,1940,3,1,6,7,0,low
54,1,11: Scotland,Scotland,1940,3,0,1,1,0,low
55,1,11: Scotland,Scotland,1940,4,0,3,3,0,low
56,1,11: Scotland,Scotland,1940,4,0,1,1,0,low
57,1,11: Scotland,Scotland,1940,4,0,1,1,0,low
58,1,11: Scotland,Scotland,1940,4,0,0,0,0,NA
59,1,4: Eastern,England,1940,5,0,0,0,0,NA
60,1,4: Eastern,England,1940,5,0,0,0,0,NA
61,1,12: South Eastern,England,1940,5,0,0,0,1,NA
62,1,1: Northern,England,1940,5,0,8,8,1,low
63,1,1: Northern,England,1940,5,0,0,0,1,NA
64,1,4: Eastern,England,1940,5,0,0,0,1,NA
65,1,4: Eastern,England,1940,5,0,0,0,1,NA
66,1,2: North Eastern,England,1940,6,0,0,0,1,NA
67,1,1: Northern,England,1940,6,0,0,0,1,NA
68,1,3: North Midlands,England,1940,6,0,0,0,1,NA
69,1,4: Eastern,England,1940,6,0,0,0,1,NA
70,1,4: Eastern,England,1940,6,0,0,0,1,NA
71,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
72,1,12: South Eastern,England,1940,6,0,0,0,1,NA
73,1,1: Northern,England,1940,6,0,0,0,1,NA
74,1,2: North Eastern,England,1940,6,0,0,0,1,NA
75,1,3: North Midlands,England,1940,6,0,2,2,1,low
76,1,4: Eastern,England,1940,6,0,0,0,1,NA
77,1,4: Eastern,England,1940,6,0,0,0,1,NA
78,1,4: Eastern,England,1940,6,0,0,0,1,NA
79,1,4: Eastern,England,1940,6,0,0,0,1,NA
80,1,6: Southern,England,1940,6,0,0,0,1,NA
81,1,6: Southern,England,1940,6,0,0,0,1,NA
82,1,3: North Midlands,England,1940,6,0,0,0,1,NA
83,1,4: Eastern,England,1940,6,0,0,0,1,NA
84,1,4: Eastern,England,1940,6,0,0,0,1,NA
85,1,6: Southern,England,1940,6,0,0,0,1,NA
86,1,1: Northern,England,1940,6,0,0,0,1,NA
87,1,2: North Eastern,England,1940,6,0,0,0,1,NA
88,1,3: North Midlands,England,1940,6,0,1,1,1,low
90,1,3: North Midlands,England,1940,6,0,0,0,1,NA
91,1,4: Eastern,England,1940,6,0,0,0,1,NA
92,1,4: Eastern,England,1940,6,9,10,19,1,medium
93,1,4: Eastern,England,1940,6,1,12,13,1,low
94,1,4: Eastern,England,1940,6,0,1,1,1,low
95,1,4: Eastern,England,1940,6,0,1,1,1,low
96,1,4: Eastern,England,1940,6,0,1,1,1,low
97,1,4: Eastern,England,1940,6,0,0,0,1,NA
98,1,5: London,England,1940,6,0,1,1,1,low
99,1,12: South Eastern,England,1940,6,0,0,0,1,NA
100,1,1: Northern,England,1940,6,1,2,3,1,medium
101,1,1: Northern,England,1940,6,0,0,0,1,NA
103,1,1: Northern,England,1940,6,1,9,10,1,low
104,1,2: North Eastern,England,1940,6,0,3,3,1,low
106,1,7: South Western,England,1940,6,0,0,0,1,NA
107,1,7: South Western,England,1940,6,0,0,0,1,NA
108,1,8: Wales,Wales,1940,6,0,0,0,1,NA
109,1,10: North Western,England,1940,6,2,6,8,1,low
110,1,10: North Western,England,1940,6,0,0,0,1,NA
111,1,1: Northern,England,1940,6,0,0,0,1,NA
112,1,1: Northern,England,1940,6,0,0,0,1,NA
113,1,1: Northern,England,1940,6,0,0,0,1,NA
114,1,1: Northern,England,1940,6,0,0,0,1,NA
117,1,4: Eastern,England,1940,6,0,0,0,1,NA
118,1,4: Eastern,England,1940,6,0,0,0,1,NA
119,1,12: South Eastern,England,1940,6,1,0,1,1,high
121,1,3: North Midlands,England,1940,6,0,0,0,1,NA
122,1,3: North Midlands,England,1940,6,0,0,0,1,NA
123,1,4: Eastern,England,1940,6,0,0,0,1,NA
124,1,4: Eastern,England,1940,6,0,0,0,1,NA
125,1,4: Eastern,England,1940,6,0,0,0,1,NA
126,1,4: Eastern,England,1940,6,0,0,0,1,NA
127,1,4: Eastern,England,1940,6,0,0,0,1,NA
128,1,4: Eastern,England,1940,6,0,0,0,1,NA
130,1,7: South Western,England,1940,6,0,0,0,1,NA
131,1,9: Midlands,England,1940,6,0,0,0,1,NA
132,1,1: Northern,England,1940,6,0,0,0,1,NA
133,1,1: Northern,England,1940,6,0,0,0,1,NA
134,1,2: North Eastern,England,1940,6,0,0,0,1,NA
135,1,2: North Eastern,England,1940,6,0,0,0,1,NA
136,1,2: North Eastern,England,1940,6,0,0,0,1,NA
137,1,2: North Eastern,England,1940,6,0,1,1,1,low
138,1,3: North Midlands,England,1940,6,0,0,0,1,NA
139,1,3: North Midlands,England,1940,6,0,0,0,1,NA
140,1,3: North Midlands,England,1940,6,0,0,0,1,NA
141,1,3: North Midlands,England,1940,6,0,0,0,1,NA
142,1,3: North Midlands,England,1940,6,0,0,0,1,NA
143,1,3: North Midlands,England,1940,6,0,0,0,1,NA
144,1,3: North Midlands,England,1940,6,0,0,0,1,NA
145,1,3: North Midlands,England,1940,6,0,0,0,1,NA
146,1,4: Eastern,England,1940,6,0,0,0,1,NA
147,1,4: Eastern,England,1940,6,0,0,0,1,NA
148,1,4: Eastern,England,1940,6,0,0,0,1,NA
149,1,6: Southern,England,1940,6,0,2,2,1,low
150,1,6: Southern,England,1940,6,2,2,4,1,medium
151,1,6: Southern,England,1940,6,0,0,0,1,NA
152,1,7: South Western,England,1940,6,0,0,0,1,NA
153,1,7: South Western,England,1940,6,0,0,0,1,NA
154,1,8: Wales,Wales,1940,6,0,0,0,1,NA
155,6,9: Midlands,England,1940,6,3,7,10,1,low
156,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
157,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
158,1,11: Scotland,Scotland,1940,6,2,0,2,1,high
159,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
160,1,1: Northern,England,1940,6,0,0,0,1,NA
162,1,1: Northern,England,1940,6,0,0,0,1,NA
163,1,1: Northern,England,1940,6,0,0,0,1,NA
164,1,1: Northern,England,1940,6,0,0,0,1,NA
165,1,2: North Eastern,England,1940,6,0,0,0,1,NA
166,1,6: Southern,England,1940,6,0,0,0,1,NA
167,1,6: Southern,England,1940,6,0,0,0,1,NA
168,1,6: Southern,England,1940,6,0,0,0,1,NA
169,1,7: South Western,England,1940,6,0,0,0,1,NA
170,1,6: Southern,England,1940,6,0,0,0,1,NA
171,1,8: Wales,Wales,1940,6,0,0,0,1,NA
172,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
173,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
174,1,1: Northern,England,1940,6,0,0,0,1,NA
175,1,1: Northern,England,1940,6,0,0,0,1,NA
177,1,3: North Midlands,England,1940,6,0,3,3,1,low
178,1,3: North Midlands,England,1940,6,0,0,0,1,NA
179,1,3: North Midlands,England,1940,6,0,0,0,1,NA
180,1,3: North Midlands,England,1940,6,0,0,0,1,NA
181,1,6: Southern,England,1940,6,0,0,0,1,NA
182,1,6: Southern,England,1940,6,0,0,0,1,NA
183,1,6: Southern,England,1940,6,0,0,0,1,NA
184,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
185,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
186,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
187,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
188,1,1: Northern,England,1940,6,0,0,0,1,NA
189,1,1: Northern,England,1940,6,0,0,0,1,NA
190,1,3: North Midlands,England,1940,6,0,1,1,1,low
191,1,3: North Midlands,England,1940,6,0,0,0,1,NA
192,1,3: North Midlands,England,1940,6,0,0,0,1,NA
193,2,7: South Western,England,1940,6,0,1,1,1,low
194,1,6: Southern,England,1940,6,0,1,1,1,low
195,1,8: Wales,Wales,1940,6,0,1,1,1,low
196,1,8: Wales,Wales,1940,6,0,0,0,1,NA
197,1,8: Wales,Wales,1940,6,0,2,2,1,low
200,1,11: Scotland,Scotland,1940,6,0,0,0,0,NA
201,1,1: Northern,England,1940,6,0,0,0,1,NA
202,1,2: North Eastern,England,1940,6,0,0,0,1,NA
203,1,3: North Midlands,England,1940,6,0,0,0,1,NA
204,1,3: North Midlands,England,1940,6,0,0,0,1,NA
205,1,3: North Midlands,England,1940,6,0,0,0,1,NA
206,1,4: Eastern,England,1940,6,0,0,0,1,NA
207,1,6: Southern,England,1940,6,0,0,0,1,NA
208,1,7: South Western,England,1940,6,0,1,1,1,low
209,1,7: South Western,England,1940,6,0,0,0,1,NA
210,1,7: South Western,England,1940,6,0,0,0,1,NA
211,1,7: South Western,England,1940,6,0,0,0,1,NA
212,1,7: South Western,England,1940,6,0,0,0,1,NA
213,1,7: South Western,England,1940,6,0,0,0,1,NA
214,1,8: Wales,Wales,1940,6,0,0,0,1,NA
215,1,8: Wales,Wales,1940,6,0,0,0,1,NA
216,1,9: Midlands,England,1940,6,2,8,10,1,low
217,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
218,1,12: South Eastern,England,1940,6,0,0,0,1,NA
219,1,1: Northern,England,1940,6,0,0,0,1,NA
220,1,3: North Midlands,England,1940,6,0,0,0,1,NA
221,1,3: North Midlands,England,1940,6,0,0,0,1,NA
222,1,3: North Midlands,England,1940,6,0,0,0,1,NA
223,1,6: Southern,England,1940,6,0,0,0,1,NA
224,1,6: Southern,England,1940,6,0,0,0,1,NA
225,1,8: Wales,Wales,1940,6,0,0,0,1,NA
226,1,8: Wales,Wales,1940,6,0,0,0,1,NA
227,1,8: Wales,Wales,1940,6,0,0,0,1,NA
228,1,11: Scotland,Scotland,1940,6,0,1,1,1,low
229,1,11: Scotland,Scotland,1940,6,0,0,0,1,NA
231,1,2: North Eastern,England,1940,7,0,2,2,0,low
232,1,2: North Eastern,England,1940,7,0,0,0,0,NA
233,1,11: Scotland,Scotland,1940,7,12,18,30,0,medium
234,1,4: Eastern,England,1940,7,0,0,0,1,NA
235,1,7: South Western,England,1940,7,0,0,0,1,NA
236,1,6: Southern,England,1940,7,0,0,0,1,NA
237,1,7: South Western,England,1940,7,0,0,0,1,NA
238,1,8: Wales,Wales,1940,7,0,4,4,1,low
239,1,1: Northern,England,1940,7,2,14,16,0,low
240,1,1: Northern,England,1940,7,10,109,119,0,low
241,1,7: South Western,England,1940,7,0,0,0,0,NA
242,1,8: Wales,Wales,1940,7,0,0,0,0,NA
243,1,6: Southern,England,1940,7,0,0,0,1,NA
244,1,7: South Western,England,1940,7,0,0,0,1,NA
245,1,7: South Western,England,1940,7,0,0,0,1,NA
246,1,8: Wales,Wales,1940,7,0,0,0,1,NA
247,1,9: Midlands,England,1940,7,0,0,0,1,NA
248,1,12: South Eastern,England,1940,7,0,0,0,1,NA
249,1,1: Northern,England,1940,7,0,33,33,0,low
250,1,1: Northern,England,1940,7,0,0,0,0,NA
251,1,4: Eastern,England,1940,7,0,10,10,0,low
252,1,4: Eastern,England,1940,7,4,12,16,0,low
253,1,4: Eastern,England,1940,7,0,0,0,0,NA
254,1,5: London,England,1940,7,0,0,0,0,NA
255,1,5: London,England,1940,7,0,0,0,0,NA
256,1,6: Southern,England,1940,7,0,5,5,0,low
257,1,6: Southern,England,1940,7,0,0,0,0,NA
258,1,6: Southern,England,1940,7,0,0,0,0,NA
259,1,6: Southern,England,1940,7,0,0,0,0,NA
260,1,7: South Western,England,1940,7,0,0,0,0,NA
261,1,7: South Western,England,1940,7,0,0,0,0,NA
262,1,11: Scotland,Scotland,1940,7,0,0,0,0,NA
263,1,12: South Eastern,England,1940,7,1,3,4,0,low
264,1,12: South Eastern,England,1940,7,0,0,0,0,NA
265,1,12: South Eastern,England,1940,7,1,5,6,0,low
266,1,12: South Eastern,England,1940,7,0,0,0,0,NA
267,1,12: South Eastern,England,1940,7,0,0,0,0,NA
268,1,12: South Eastern,England,1940,7,0,0,0,0,NA
269,1,12: South Eastern,England,1940,7,0,0,0,0,NA
270,1,12: South Eastern,England,1940,7,0,0,0,0,NA
271,1,12: South Eastern,England,1940,7,0,0,0,0,NA
272,1,12: South Eastern,England,1940,7,0,0,0,0,NA
273,1,4: Eastern,England,1940,7,0,0,0,1,NA
274,1,4: Eastern,England,1940,7,0,0,0,1,NA
275,1,4: Eastern,England,1940,7,0,0,0,1,NA
276,1,4: Eastern,England,1940,7,0,0,0,1,NA
277,1,2: North Eastern,England,1940,7,0,0,0,1,NA
278,1,6: Southern,England,1940,7,10,1,11,0,high
279,1,1: Northern,England,1940,7,0,1,1,0,low
280,1,1: Northern,England,1940,7,0,0,0,1,NA
281,1,2: North Eastern,England,1940,7,0,0,0,1,NA
282,1,2: North Eastern,England,1940,7,0,0,0,1,NA
283,1,2: North Eastern,England,1940,7,0,0,0,1,NA
284,1,2: North Eastern,England,1940,7,0,0,0,1,NA
285,1,2: North Eastern,England,1940,7,0,0,0,1,NA
286,1,6: Southern,England,1940,7,0,0,0,1,NA
287,1,7: South Western,England,1940,7,0,0,0,1,NA
288,1,8: Wales,Wales,1940,7,0,0,0,1,NA
289,1,12: South Eastern,England,1940,7,0,0,0,1,NA
290,1,12: South Eastern,England,1940,7,0,0,0,1,NA
291,1,7: South Western,England,1940,7,0,10,10,0,low
292,1,7: South Western,England,1940,7,0,0,0,1,NA
293,1,7: South Western,England,1940,7,0,2,2,1,low
294,1,7: South Western,England,1940,7,0,0,0,1,NA
295,1,2: North Eastern,England,1940,7,0,0,0,1,NA
296,1,2: North Eastern,England,1940,7,0,0,0,1,NA
297,1,3: North Midlands,England,1940,7,0,0,0,1,NA
298,1,4: Eastern,England,1940,7,0,0,0,1,NA
299,1,5: London,England,1940,7,0,0,0,1,NA
300,1,5: London,England,1940,7,0,0,0,1,NA
301,1,12: South Eastern,England,1940,7,0,0,0,0,NA
302,1,12: South Eastern,England,1940,7,0,3,3,1,low
303,1,12: South Eastern,England,1940,7,0,0,0,1,NA
304,1,6: Southern,England,1940,7,7,24,31,0,low
305,1,7: South Western,England,1940,7,0,0,0,0,NA
306,1,6: Southern,England,1940,7,0,0,0,0,NA
307,1,7: South Western,England,1940,7,1,7,8,0,low
308,1,1: Northern,England,1940,7,3,10,13,1,low
309,1,1: Northern,England,1940,7,0,0,0,1,NA
310,1,1: Northern,England,1940,7,0,0,0,1,NA
311,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
312,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
313,1,4: Eastern,England,1940,7,0,0,0,0,NA
314,1,4: Eastern,England,1940,7,0,0,0,0,NA
315,1,6: Southern,England,1940,7,0,0,0,0,NA
316,1,6: Southern,England,1940,7,6,8,14,0,medium
317,1,7: South Western,England,1940,7,15,15,30,0,medium
319,1,12: South Eastern,England,1940,7,1,15,16,0,low
320,1,12: South Eastern,England,1940,7,0,0,0,0,NA
321,1,1: Northern,England,1940,7,0,0,0,1,NA
322,1,2: North Eastern,England,1940,7,0,3,3,1,low
323,1,7: South Western,England,1940,7,0,3,3,1,low
324,1,7: South Western,England,1940,7,5,12,17,1,low
325,1,1: Northern,England,1940,7,0,6,6,1,low
326,1,4: Eastern,England,1940,7,0,1,1,0,low
327,1,7: South Western,England,1940,7,4,14,18,0,low
328,1,7: South Western,England,1940,7,0,10,10,0,low
329,1,6: Southern,England,1940,7,0,0,0,0,NA
330,1,1: Northern,England,1940,7,0,1,1,1,low
331,1,1: Northern,England,1940,7,0,0,0,1,NA
332,1,2: North Eastern,England,1940,7,0,0,0,1,NA
333,1,2: North Eastern,England,1940,7,0,0,0,1,NA
334,1,2: North Eastern,England,1940,7,0,0,0,1,NA
335,1,4: Eastern,England,1940,7,0,0,0,1,NA
336,1,4: Eastern,England,1940,7,0,0,0,1,NA
337,1,4: Eastern,England,1940,7,0,0,0,1,NA
338,1,6: Southern,England,1940,7,1,1,2,1,medium
339,1,7: South Western,England,1940,7,0,1,1,1,low
340,1,7: South Western,England,1940,7,0,0,0,1,NA
341,1,7: South Western,England,1940,7,0,0,0,1,NA
342,1,7: South Western,England,1940,7,0,0,0,1,NA
343,1,6: Southern,England,1940,7,0,0,0,1,NA
344,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
345,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
346,1,11: Scotland,Scotland,1940,7,0,2,2,1,low
347,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
348,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
349,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
350,1,12: South Eastern,England,1940,7,0,1,1,1,low
351,1,12: South Eastern,England,1940,7,0,3,3,1,low
352,1,12: South Eastern,England,1940,7,0,0,0,1,NA
353,1,4: Eastern,England,1940,7,2,2,4,0,medium
354,1,4: Eastern,England,1940,7,3,4,7,0,medium
355,1,4: Eastern,England,1940,7,3,6,9,0,medium
357,1,4: Eastern,England,1940,7,0,0,0,0,NA
358,1,4: Eastern,England,1940,7,0,0,0,0,NA
359,1,4: Eastern,England,1940,7,0,0,0,0,NA
360,1,6: Southern,England,1940,7,0,0,0,0,NA
361,1,6: Southern,England,1940,7,0,0,0,0,NA
362,1,6: Southern,England,1940,7,0,0,0,0,NA
363,1,6: Southern,England,1940,7,0,0,0,0,NA
364,1,6: Southern,England,1940,7,0,0,0,0,NA
365,1,6: Southern,England,1940,7,0,0,0,1,NA
366,1,7: South Western,England,1940,7,0,0,0,1,NA
367,1,7: South Western,England,1940,7,0,0,0,1,NA
368,1,6: Southern,England,1940,7,0,0,0,0,NA
369,1,8: Wales,Wales,1940,7,6,7,13,0,medium
370,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
371,1,11: Scotland,Scotland,1940,7,0,0,0,0,NA
372,1,12: South Eastern,England,1940,7,0,0,0,1,NA
373,1,12: South Eastern,England,1940,7,0,0,0,1,NA
374,1,12: South Eastern,England,1940,7,0,0,0,0,NA
375,1,2: North Eastern,England,1940,7,0,0,0,1,NA
376,1,4: Eastern,England,1940,7,0,0,0,1,NA
377,1,4: Eastern,England,1940,7,0,0,0,1,NA
378,1,4: Eastern,England,1940,7,0,0,0,1,NA
379,1,4: Eastern,England,1940,7,0,0,0,1,NA
380,1,4: Eastern,England,1940,7,0,0,0,1,NA
381,1,4: Eastern,England,1940,7,0,0,0,1,NA
382,1,4: Eastern,England,1940,7,0,2,2,1,low
383,1,4: Eastern,England,1940,7,0,0,0,1,NA
384,1,4: Eastern,England,1940,7,0,0,0,1,NA
385,1,6: Southern,England,1940,7,0,0,0,1,NA
386,1,8: Wales,Wales,1940,7,1,8,9,1,low
387,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
388,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
389,1,12: South Eastern,England,1940,7,0,0,0,1,NA
390,1,12: South Eastern,England,1940,7,0,0,0,1,NA
391,1,12: South Eastern,England,1940,7,0,0,0,1,NA
392,1,4: Eastern,England,1940,7,0,0,0,0,NA
393,1,6: Southern,England,1940,7,1,0,1,0,high
394,1,6: Southern,England,1940,7,0,0,0,0,NA
395,1,7: South Western,England,1940,7,4,36,40,0,low
396,1,7: South Western,England,1940,7,4,7,11,0,medium
397,1,7: South Western,England,1940,7,0,0,0,0,NA
398,1,7: South Western,England,1940,7,0,0,0,0,NA
399,1,7: South Western,England,1940,7,0,0,0,0,NA
400,1,7: South Western,England,1940,7,0,0,0,0,NA
401,1,8: Wales,Wales,1940,7,12,26,38,0,low
402,1,8: Wales,Wales,1940,7,9,15,24,0,medium
403,1,8: Wales,Wales,1940,7,1,4,5,0,low
404,1,8: Wales,Wales,1940,7,0,0,0,0,NA
405,1,8: Wales,Wales,1940,7,0,0,0,0,NA
406,1,12: South Eastern,England,1940,7,2,6,8,0,low
407,1,1: Northern,England,1940,7,0,0,0,1,NA
408,1,4: Eastern,England,1940,7,0,1,1,1,low
409,1,4: Eastern,England,1940,7,0,0,0,1,NA
410,1,4: Eastern,England,1940,7,0,0,0,1,NA
411,1,10: North Western,England,1940,7,0,0,0,1,NA
412,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
413,1,12: South Eastern,England,1940,7,0,0,0,1,NA
414,1,12: South Eastern,England,1940,7,0,0,0,1,NA
416,1,2: North Eastern,England,1940,7,0,0,0,0,NA
417,1,3: North Midlands,England,1940,7,7,9,16,0,medium
418,1,3: North Midlands,England,1940,7,0,0,0,0,NA
419,1,4: Eastern,England,1940,7,4,2,6,0,high
420,1,6: Southern,England,1940,7,0,0,0,0,NA
421,1,7: South Western,England,1940,7,0,0,0,0,NA
422,1,2: North Eastern,England,1940,7,0,0,0,1,NA
423,1,3: North Midlands,England,1940,7,0,0,0,1,NA
424,1,3: North Midlands,England,1940,7,0,0,0,1,NA
425,1,5: London,England,1940,7,0,0,0,1,NA
426,1,6: Southern,England,1940,7,17,50,67,1,low
427,1,7: South Western,England,1940,7,0,0,0,1,NA
428,1,9: Midlands,England,1940,7,0,0,0,1,NA
429,1,12: South Eastern,England,1940,7,0,0,0,1,NA
430,1,6: Southern,England,1940,7,0,0,0,0,NA
431,1,6: Southern,England,1940,7,0,0,0,0,NA
432,1,8: Wales,Wales,1940,7,0,0,0,0,NA
433,1,7: South Western,England,1940,7,0,0,0,0,NA
434,1,7: South Western,England,1940,7,0,2,2,0,low
435,1,7: South Western,England,1940,7,0,0,0,0,NA
436,1,7: South Western,England,1940,7,0,0,0,0,NA
437,1,7: South Western,England,1940,7,0,0,0,0,NA
438,1,7: South Western,England,1940,7,0,0,0,0,NA
439,1,11: Scotland,Scotland,1940,7,26,79,105,0,low
440,1,11: Scotland,Scotland,1940,7,0,0,0,0,NA
441,1,1: Northern,England,1940,7,0,0,0,1,NA
442,1,1: Northern,England,1940,7,0,0,0,1,NA
443,1,7: South Western,England,1940,7,0,0,0,1,NA
444,1,8: Wales,Wales,1940,7,1,3,4,1,low
445,1,8: Wales,Wales,1940,7,1,3,4,1,low
446,1,8: Wales,Wales,1940,7,1,3,4,1,low
447,1,11: Scotland,Scotland,1940,7,2,15,17,1,low
448,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
449,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
450,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
451,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
452,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
453,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
454,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
455,1,6: Southern,England,1940,7,0,0,0,0,NA
456,1,12: South Eastern,England,1940,7,0,0,0,0,NA
457,1,4: Eastern,England,1940,7,0,0,0,1,NA
458,1,4: Eastern,England,1940,7,0,0,0,1,NA
459,1,6: Southern,England,1940,7,0,0,0,1,NA
460,1,6: Southern,England,1940,7,0,0,0,1,NA
461,1,6: Southern,England,1940,7,0,0,0,1,NA
462,1,7: South Western,England,1940,7,0,1,1,1,low
463,1,7: South Western,England,1940,7,0,0,0,1,NA
464,1,12: South Eastern,England,1940,7,0,0,0,1,NA
465,1,12: South Eastern,England,1940,7,0,0,0,1,NA
466,1,12: South Eastern,England,1940,7,0,0,0,1,NA
467,1,7: South Western,England,1940,7,0,0,0,0,NA
468,1,7: South Western,England,1940,7,0,6,6,0,low
469,1,7: South Western,England,1940,7,0,1,1,0,low
470,1,8: Wales,Wales,1940,7,0,0,0,0,NA
471,1,8: Wales,Wales,1940,7,0,0,0,0,NA
472,1,8: Wales,Wales,1940,7,0,0,0,0,NA
473,1,8: Wales,Wales,1940,7,0,0,0,0,NA
474,1,8: Wales,Wales,1940,7,0,0,0,0,NA
475,1,12: South Eastern,England,1940,7,2,2,4,0,medium
476,1,12: South Eastern,England,1940,7,2,4,6,0,medium
477,1,12: South Eastern,England,1940,7,0,0,0,0,NA
478,1,12: South Eastern,England,1940,7,0,0,0,0,NA
479,1,10: North Western,England,1940,7,0,8,8,1,low
480,1,11: Scotland,Scotland,1940,7,0,0,0,0,NA
481,1,11: Scotland,Scotland,1940,7,0,22,22,0,low
482,1,11: Scotland,Scotland,1940,7,0,3,3,0,low
483,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
484,1,11: Scotland,Scotland,1940,7,0,0,0,0,NA
485,1,3: North Midlands,England,1940,7,0,0,0,0,NA
486,1,5: London,England,1940,7,0,0,0,0,NA
487,1,6: Southern,England,1940,7,0,0,0,0,NA
488,1,11: Scotland,Scotland,1940,7,0,0,0,1,NA
489,1,11: Scotland,Scotland,1940,7,1,5,6,0,low
490,1,12: South Eastern,England,1940,7,0,0,0,0,NA
491,1,12: South Eastern,England,1940,7,1,5,6,0,low
492,1,12: South Eastern,England,1940,7,0,0,0,0,NA
